Seq,1:EventCounter,1:Sync,1:Aux,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:EventCounter,2:Sync,2:Aux,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy,3:EventCounter,3:Sync,3:Aux,3:Fx,3:Fy,3:Fz,3:Mx,3:My,3:Mz,3:COPx,3:COPy,4:EventCounter,4:Sync,4:Aux,4:Fx,4:Fy,4:Fz,4:Mx,4:My,4:Mz,4:COPx,4:COPy
0.000000,2428662.000000,255.000000,255.000000,-0.614230,6.272400,0.556823,-0.724953,0.405394,0.721828,0.000000,0.000000,2428662.000000,248.000000,255.000000,0.594381,8.996257,0.171554,0.141617,0.204071,-1.002257,0.000000,0.000000,2428662.000000,128.000000,255.000000,3.660616,-32.536507,-2.605122,2.499528,-0.322239,1.807496,0.000000,0.000000,2428662.000000,192.000000,255.000000,-28.212473,-33.562531,943.571594,119.629303,26.253992,1.664038,-0.027824,0.126783
1.000000,2428663.000000,255.000000,255.000000,-1.120335,6.213073,0.775636,-0.660634,0.356455,0.748515,0.000000,0.000000,2428663.000000,248.000000,255.000000,0.378848,9.152171,0.340936,0.238450,0.141776,-1.363118,0.000000,0.000000,2428663.000000,128.000000,255.000000,4.125540,-32.626602,-2.694716,2.593079,-0.320888,1.905180,0.000000,0.000000,2428663.000000,192.000000,255.000000,-27.922522,-33.776085,943.864624,119.581703,26.264584,1.533452,-0.027827,0.126694
2.000000,2428664.000000,255.000000,255.000000,-1.262359,5.917166,1.005891,-0.648602,0.281786,0.605057,0.000000,0.000000,2428664.000000,248.000000,255.000000,0.665422,9.109973,0.501767,0.104130,0.110559,-1.230715,0.000000,0.000000,2428664.000000,128.000000,255.000000,3.815430,-32.290833,-2.515834,2.455478,-0.333235,2.017348,0.000000,0.000000,2428664.000000,192.000000,255.000000,-27.901798,-33.963425,944.026245,119.566048,26.259315,1.609910,-0.027816,0.126655
3.000000,2428665.000000,255.000000,255.000000,-0.742809,6.280632,0.668053,-0.836972,0.323630,0.917988,0.000000,0.000000,2428665.000000,248.000000,255.000000,0.936398,9.005319,0.485143,0.242527,0.138928,-1.190299,0.000000,0.000000,2428665.000000,128.000000,255.000000,3.802083,-32.498646,-2.286557,2.490798,-0.397904,1.965478,0.000000,0.000000,2428665.000000,192.000000,255.000000,-27.885872,-33.534817,943.564941,119.720261,26.324968,1.702144,-0.027899,0.126881
4.000000,2428666.000000,255.000000,255.000000,-0.899838,5.866536,1.283546,-0.825840,0.304854,0.824335,0.000000,0.000000,2428666.000000,248.000000,255.000000,0.410898,9.212386,0.240254,0.344754,0.182838,-1.367182,0.000000,0.000000,2428666.000000,128.000000,255.000000,4.302350,-32.967945,-2.612145,2.452557,-0.333030,1.803916,0.000000,0.000000,2428666.000000,192.000000,255.000000,-28.038263,-33.726746,943.463562,119.728859,26.286873,1.680004,-0.027862,0.126904
5.000000,2428667.000000,255.000000,255.000000,-0.779056,5.804641,0.884371,-0.925014,0.302565,1.020089,0.000000,0.000000,2428667.000000,248.000000,255.000000,0.606429,8.973772,0.007669,0.279114,0.234496,-1.660320,0.000000,0.000000,2428667.000000,128.000000,255.000000,4.483743,-32.759785,-2.835393,2.544781,-0.341254,1.785646,0.000000,0.000000,2428667.000000,192.000000,255.000000,-28.084576,-33.363068,943.612427,119.884277,26.249531,1.735561,-0.027818,0.127048
6.000000,2428668.000000,255.000000,255.000000,-1.254107,6.248173,0.965319,-0.832076,0.478670,0.744583,0.000000,0.000000,2428668.000000,248.000000,255.000000,1.255354,9.147758,-0.301719,0.163084,0.282736,-1.445096,0.000000,0.000000,2428668.000000,128.000000,255.000000,4.464943,-32.297363,-2.822237,2.320778,-0.260535,1.734346,0.000000,0.000000,2428668.000000,192.000000,255.000000,-28.043087,-33.481236,943.370361,119.798767,26.318949,1.609594,-0.027899,0.126990
7.000000,2428669.000000,255.000000,255.000000,-1.250357,6.344714,0.790988,-0.762318,0.468129,0.721843,0.000000,0.000000,2428669.000000,248.000000,255.000000,0.928331,8.950432,-0.052275,0.332214,0.220288,-1.175718,0.000000,0.000000,2428669.000000,128.000000,255.000000,4.475627,-32.308819,-2.445754,2.354656,-0.317149,1.739265,0.000000,0.000000,2428669.000000,192.000000,255.000000,-27.960041,-33.356487,943.397400,119.690041,26.353416,1.612486,-0.027935,0.126871
8.000000,2428670.000000,255.000000,255.000000,-1.247709,6.345524,0.561300,-0.664981,0.403879,0.721832,0.000000,0.000000,2428670.000000,248.000000,255.000000,0.076071,8.716068,0.200307,0.373248,0.084598,-1.291615,0.000000,0.000000,2428670.000000,128.000000,255.000000,4.293059,-32.317623,-2.514598,2.530641,-0.308481,1.661393,0.000000,0.000000,2428670.000000,192.000000,255.000000,-27.693316,-33.148796,943.829102,119.502991,26.346657,1.555189,-0.027915,0.126615
9.000000,2428671.000000,255.000000,255.000000,-1.247536,6.350974,0.561570,-0.665347,0.403930,0.723248,0.000000,0.000000,2428671.000000,248.000000,255.000000,0.605007,8.770483,0.168188,0.376874,0.040250,-1.063069,0.000000,0.000000,2428671.000000,128.000000,255.000000,4.299947,-32.864010,-2.523417,2.480358,-0.355374,1.624092,0.000000,0.000000,2428671.000000,192.000000,255.000000,-27.909491,-33.138233,943.437744,119.668510,26.309845,1.651995,-0.027887,0.126843
